id;subject;start_time;end_time;notes;local;appointment_type
1;inculcate intervention;2024-12-18T19:09:06;2024-12-18T17:31:11;../fake-data/blob/hipster.txt;cleverly hyphenation economise;SMALL_GROUP
2;hollow;2024-12-18T00:22:53;2024-12-18T21:44:56;../fake-data/blob/hipster.txt;pace terraform;DISCIPLESHIP
3;compete;2024-12-18T19:58:53;2024-12-18T17:11:31;../fake-data/blob/hipster.txt;apropos;REHEARSAL
4;bah;2024-12-18T10:00:29;2024-12-18T05:01:41;../fake-data/blob/hipster.txt;or;SMALL_GROUP
5;generally quarrelsome brisk;2024-12-18T16:53:32;2024-12-18T05:24:55;../fake-data/blob/hipster.txt;provided crocodile;MEETING
6;ouch;2024-12-18T10:13:00;2024-12-18T10:43:47;../fake-data/blob/hipster.txt;boohoo;SMALL_GROUP
7;among the happily;2024-12-18T21:35:46;2024-12-18T10:32:11;../fake-data/blob/hipster.txt;quantify huzzah;OTHER
8;catalyze never successfully;2024-12-18T13:23:33;2024-12-18T20:19:39;../fake-data/blob/hipster.txt;difficult coexist;OTHER
9;who;2024-12-18T13:10:02;2024-12-18T06:48:28;../fake-data/blob/hipster.txt;so;COUNSELING
10;toward ew brr;2024-12-18T01:48:50;2024-12-18T12:27:21;../fake-data/blob/hipster.txt;miskey hm;REHEARSAL
