id;name;cnpj;address;city;date_foundation;phone;email;website;facebook;instagram;twitter;youtube;about
1;pro trim;"63878606494122";courtroom urgently neck;South Catalina;2024-12-18;(345) 344-6364 x323;Jasper.Zboncak@hotmail.com;excluding;snoop degrease;since;publicity tough;rebuff trusty pfft;../fake-data/blob/hipster.txt
2;cantaloupe;"55669304704099";schlep blah;South Madalinestead;2024-12-18;(749) 836-3226 x894;Jose14@gmail.com;absent artistic;sesame abaft once;excepting designation pfft;yearly;aboard;../fake-data/blob/hipster.txt
3;sonar lock geez;"45853683428129";dividend um unless;Cartwrightburgh;2024-12-18;1-350-452-0843 x8056;Nasir_Ondricka@gmail.com;yieldingly towards;wherever sway;garrote;excluding evil;knickers that;../fake-data/blob/hipster.txt
4;greatly wildly;"64263672966454";freely geez;Syracuse;2024-12-18;1-739-554-9158 x04779;Stanton_Bins@hotmail.com;talkative zowie;fraudster;against hmph;after institute;quintuple galoshes;../fake-data/blob/hipster.txt
5;option;"29952220188998";lean eek across;Lake Marcos;2024-12-18;768.829.2977;Elias.Hickle@yahoo.com;since oh zowie;drat around schedule;yahoo what actually;ugh;commonly glimmer;../fake-data/blob/hipster.txt
6;roughly;"28594922188262";bind aw jovially;Indio;2024-12-18;978-340-0842 x4353;Walker81@hotmail.com;waterspout;forager huge;through;burdensome;ick;../fake-data/blob/hipster.txt
7;following;"25538120620456";forenenst;Fort Keely;2024-12-18;596-705-4465;Mekhi_Wisozk@yahoo.com;altruistic upon cassava;dearly deduce mutate;cafe immediately;cultivated;unhealthy amidst coagulate;../fake-data/blob/hipster.txt
8;poor simplistic;"50822523719873";until those;Town 'n' Country;2024-12-18;1-906-349-1275 x1412;Raymundo55@yahoo.com;rejigger;before;warmly wide-eyed decent;atop after terrorise;over aw scope;../fake-data/blob/hipster.txt
9;self-confidence queasy fun;"62257441311123";entire drat;Brentwood;2024-12-18;692.708.6801 x41218;Winfield_Harvey17@gmail.com;essay usually;though sarcastic excellent;adjourn hoot;aha editor;aha;../fake-data/blob/hipster.txt
10;impressionable;"70547920930906";only angle since;East Filiberto;2024-12-18;590-570-3953 x053;Alice36@yahoo.com;reflate produce;observe when weatherize;irritably;dime fooey word;dazzling voluminous down;../fake-data/blob/hipster.txt
