id;title;lyrics_author;music_author;hymnary;hymn_number;link;youtube_link;sheet_music;sheet_music_content_type;midi;midi_content_type;tone;lyrics
1;ack;positively before;yahoo eek;minus content petty;jumbo book confusion;inside aw intellect;coaxingly fiercely;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.png;image/png;amids;blossom throbbing boo
2;splurge eek dreamily;physically commemorate;resolve alongside abnegate;astride;proselytise;while feather prestigious;stir-fry section summer;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.png;image/png;now p;unbearably eek
3;since before;meh;markup;indeed yum cap;aboard far reapply;under;than;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.png;image/png;wholl;towards
4;or noisily;upon where;snow abnormally antelope;happy well-off croon;gadzooks;lovable;greedily even why;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.png;image/png;lazil;dilate arcade
5;aha frail concrete;husky uh-huh;consequently;emphasise live sew;across;blah;lest through institute;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.png;image/png;fluff;hungry
6;brief given;minion yippee hoick;hm;verify;motor;intervention;homeschool aw;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.png;image/png;biode;smoothly but fun
7;plan frantically drat;neighboring cap whether;entry fedora bowler;wherever gee smoothly;vision;victoriously before;annual;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.png;image/png;trust;bah so
8;forgery oily;helpful recent;drab eek only;suddenly after fixed;that;closely;excitedly;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.png;image/png;quart;meanwhile gadzooks
9;energetically;scale;competent mmm;mid;against aw;phew hungrily yum;treble sadly excepting;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.png;image/png;when ;less incidentally till
10;busily hoof slipper;spear tenant airbrush;vivid aboard cheese;angrily;pants satisfy;fall;ravel self-confidence;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.png;image/png;parod;throughout hearten
