id;number;issue_date;total_amount;type;supplier;invoice_file;invoice_file_content_type
1;huzzah;2024-12-18T15:23:44;16052.64;gah caring;unnecessarily supposing;../fake-data/blob/hipster.png;image/png
2;since;2024-12-18T12:00:00;19657.99;scarcely;and;../fake-data/blob/hipster.png;image/png
3;circumnavigate;2024-12-18T23:21:20;28511.5;pinion;father;../fake-data/blob/hipster.png;image/png
4;concerning quicker finally;2024-12-18T21:52:48;23142.75;sniff given lest;incidentally;../fake-data/blob/hipster.png;image/png
5;important;2024-12-18T03:37:37;11944.27;off vanish;upliftingly;../fake-data/blob/hipster.png;image/png
6;whoever boo;2024-12-18T09:43:16;30703.3;especially proper bah;under duh per;../fake-data/blob/hipster.png;image/png
7;geez lest;2024-12-18T04:24:58;3578.13;mutate woot;analyse duh meh;../fake-data/blob/hipster.png;image/png
8;jubilantly;2024-12-18T09:43:47;10906.34;aside rosy radiant;jagged unaccountably;../fake-data/blob/hipster.png;image/png
9;hmph vol;2024-12-18T14:30:42;7453.92;provided;provided inside;../fake-data/blob/hipster.png;image/png
10;while ha;2024-12-18T12:11:04;2694.08;probe instead;yum dim;../fake-data/blob/hipster.png;image/png
