id;name;description;established_date;type
1;other;manipulate;2024-12-18;INTERNAL_SOCIETY
2;wherever;gastropod knowledgeable;2024-12-18;DEACON_BOARD
3;indeed;so pish;2024-12-18;CHURCH_COUNCIL
4;integer;arbitrate;2024-12-18;INTERNAL_SOCIETY
5;terrible;for advocate;2024-12-18;DEPARTMENT
6;boohoo;natural;2024-12-18;DEPARTMENT
7;whoever;reach excitedly;2024-12-18;INTERNAL_SOCIETY
8;bourgeoisie gee furthermore;wherever carpool gadzooks;2024-12-18;DEPARTMENT
9;whereas;plump catalyze zowie;2024-12-18;DEPARTMENT
10;feminize;properly vaguely information;2024-12-18;CHURCH_COUNCIL
