id;role;start_date;end_date;status
1;SECOND_SECRETARY;2024-12-17T21:31:25;2024-12-17T01:32:28;false
2;SECOND_SECRETARY;2024-12-17T13:26:44;2024-12-17T23:04:44;false
3;PRESIDENT;2024-12-17T02:10:59;2024-12-17T12:12:10;true
4;CAUSE_SECRETARY;2024-12-17T04:34:48;2024-12-17T14:46:09;false
5;ASSOCIATE;2024-12-17T03:18:56;2024-12-17T10:18:48;true
6;SECOND_SECRETARY;2024-12-17T19:37:32;2024-12-17T13:09:39;true
7;FIRST_SECRETARY;2024-12-17T05:58:39;2024-12-17T10:34:42;true
8;SECOND_TREASURER;2024-12-17T09:00:19;2024-12-17T18:27:39;true
9;CAUSE_SECRETARY;2024-12-17T18:23:11;2024-12-17T14:44:55;false
10;SECOND_SECRETARY;2024-12-17T23:39:30;2024-12-17T08:21:27;false
