id;name;price;description;features;renewal_period
1;provided yet;rosin juicy;navigate enormously;../fake-data/blob/hipster.txt;giggle
2;arrogantly;forager unnaturally;unnaturally manipulate encouragement;../fake-data/blob/hipster.txt;across tattered
3;across thorn;especially bleakly propound;sizzle;../fake-data/blob/hipster.txt;stained vice mobilize
4;deflect;tabletop tousle;modulo;../fake-data/blob/hipster.txt;card
5;freely above judicious;with beneath courageously;but requite;../fake-data/blob/hipster.txt;mostly
6;tame;pish;upward gah;../fake-data/blob/hipster.txt;unibody whose ew
7;weekly ick flame;scar astride;neglect lest inwardly;../fake-data/blob/hipster.txt;rebel commonly
8;amidst;vastly phooey inasmuch;hence;../fake-data/blob/hipster.txt;or allegation confusion
9;along;hope;pale phew;../fake-data/blob/hipster.txt;selfishly opposite
10;another ugh;brisk juggernaut below;iterate bicycle busily;../fake-data/blob/hipster.txt;biodegrade
