id;description;start_date;end_date;status;payment_provider;payment_status;payment_reference
1;consequently yowza;2024-12-18;2024-12-18;ACTIVE;STRIPE;REFUNDED;towards
2;in;2024-12-18;2024-12-18;PAUSED;PAYPAL;FAILED;consequently not
3;excepting;2024-12-18;2024-12-18;INACTIVE;STRIPE;COMPLETED;outfox off
4;likewise before but;2024-12-18;2024-12-18;CANCELED;STRIPE;COMPLETED;excepting um
5;creative;2024-12-18;2024-12-18;CANCELED;PAYPAL;REFUNDED;whose outside really
6;incidentally;2024-12-18;2024-12-18;ACTIVE;STRIPE;PENDING;whenever boastfully burly
7;evenly;2024-12-18;2024-12-18;CANCELED;PAYPAL;REFUNDED;more
8;testimonial;2024-12-18;2024-12-18;PAUSED;PAYPAL;REFUNDED;without for
9;superb filter;2024-12-18;2024-12-18;INACTIVE;STRIPE;REFUNDED;deduct
10;tough;2024-12-18;2024-12-18;PAUSED;OTHER;FAILED;eek
