id;description;amount;date;payment_method;type;supplier_or_client;invoice_file
1;about;14802.46;2024-12-17T23:31:11;inasmuch;atop dazzling;tenant banish;safeguard acknowledge
2;so;9189.07;2024-12-17T19:08:34;likewise since vibraphone;unusual dim majority;anti sheepishly;where inwardly witty
3;enlightened qua;24262.85;2024-12-17T12:29:27;smoke;political;amid rubbery;foolishly whisper like
4;on meh curiously;13095.83;2024-12-17T23:21:34;beautifully fireplace;bitterly because gah;while distinction foolishly;seemingly amid
5;sugary bakeware;43.49;2024-12-17T15:47:41;lest aside;along upon whose;filthy incandescence whereas;inwardly for godfather
6;basic halt bid;2094.44;2024-12-17T03:13:49;near drat;however;huzzah pave;painfully laughter
7;along zowie jungle;15995.5;2024-12-17T19:07:51;angrily wide-eyed;though by lightly;down roadway opposite;solder duffel
8;anti bashfully;18717.92;2024-12-17T19:23:50;yippee near twin;lieu pish;upright aw sonata;meanwhile scornful
9;fortunately knowledgeably fondly;21723.3;2024-12-17T18:45:20;tragic foolhardy;alongside colorful knuckle;pish or per;sans meh ha
10;tinted;5937.4;2024-12-17T18:10:09;sternly;eternity honestly;schedule;exaggerate after
